arquivo,link
2025Tarefa3-GrupoA.mp4,https://drive.google.com/file/d/1YfgZXGWOF8G9LvY8Cuvls4a28L6J8jo7/view?usp=drivesdk
2025Tarefa2-GrupoG.pdf,https://drive.google.com/file/d/1Z_71RYbmfVcNvsoPoJuFi01gV27Gh3w8/view?usp=drivesdk
2025Tarefa4-GrupoA.pdf,https://drive.google.com/file/d/1b9RihqHs7UjYM40BBxDXEHeeWp4_uAiB/view?usp=drivesdk
2025Tarefa2-GrupoC.pdf,https://drive.google.com/file/d/1b9fF-KWDZfKwn_Yj2rIZjMSX7Hol9sa5/view?usp=drivesdk
2025Tarefa1-GrupoA.pdf,https://drive.google.com/file/d/1hUYIumuYuj1_sdCzTfzJXqQNPW4HB0vp/view?usp=drivesdk
2025Tarefa2-GrupoD.pdf,https://drive.google.com/file/d/1klfE1HRk6VXPI4CGZ6L26W8jdtD7IXIK/view?usp=drivesdk
2025Tarefa1-GrupoJ.pdf,https://drive.google.com/file/d/1ksqCtNt_xmc9Wyo7R2svzonZaZ5YYwS3/view?usp=drivesdk
2025Tarefa4-GrupoI.pdf,https://drive.google.com/file/d/1lP0Hk6tyNSMxxbWCjUal_yEfkKpVCb2d/view?usp=drivesdk
2025Tarefa1-GrupoG.pdf,https://drive.google.com/file/d/1mxP_mZp6pIqP2NwBx0txTNm9uXQ6hfat/view?usp=drivesdk
2025Tarefa2-GrupoF.pdf,https://drive.google.com/file/d/1pOS1bkzkEgoVMYgL6isqTy3eW8o-a_J0/view?usp=drivesdk
2025Tarefa2-GrupoI.pdf,https://drive.google.com/file/d/1qmhr65sYZcB2BX9ViByeMkp0oFeyJqhP/view?usp=drivesdk
2025Tarefa4-GrupoC.pdf,https://drive.google.com/file/d/1rgK62qhYTea8c9dA-A9TiR4Aa_NBzdqZ/view?usp=drivesdk
2025Tarefa1-GrupoF.pdf,https://drive.google.com/file/d/1xOjg230e3lEZJawTM32RlpV2rKp9uf96/view?usp=drivesdk
2025Tarefa1-GrupoC.pdf,https://drive.google.com/file/d/1z9SE0hGKPyLx6Orks_DqhKSznLbTUJcp/view?usp=drivesdk
2017Tarefa2-GrupoA.pdf,https://drive.google.com/file/d/1-cCmHa4byfuruDHNmjSxdlFWjQEGQxg1/view?usp=drivesdk
2017Tarefa4-GrupoB.pdf,https://drive.google.com/file/d/144sLWJ4UU-1-yqHSh-QyxzKUKthI9JsJ/view?usp=drivesdk
2017Tarefa5-GrupoB.pdf,https://drive.google.com/file/d/14FY6bbdDnvN1LY2b9G0lUIEKGMZTe9ty/view?usp=drivesdk
2017Tarefa2-GrupoD.pdf,https://drive.google.com/file/d/16JnzES2zhkEC1lcXlQO-KZtv2Y4f6bx9/view?usp=drivesdk
2017Tarefa2-GrupoE.pdf,https://drive.google.com/file/d/19ZzwbBB9CxAGh7rzMQc-z6Kb4l5W9LXu/view?usp=drivesdk
2017Tarefa1-GrupoE.pdf,https://drive.google.com/file/d/1D7avxxZeKCLMFiTm_zRjy2_biMGuOv3m/view?usp=drivesdk
